column1                    column2   column3   column4   column5   column6  column7
TransE                     4.95         4.63      2.173     2.18     1.18   1.54
DistMult                   8.22         5.24      4.37      2.41     3.4    1.03
ComplEx                    9.41         6.92      4.36      2.47     3.6    2.19
R-GCN                      8.19         6.51      3.9       2.48     1.2    6.36
ConvE                      9.42         7.45      4.6       3.16     5.2    2.76
ConvKB                     8.24         3.34      2.48      3.96     4.19   2.06
RotatE                     9.47         6.99      4.76      3.38     4.95   2.96
QuatE                      9.49         7.7       4.81      3.11     2.6    2.70
Hake                       9.34         7.14      4.97      3.46     5.45   2.90
GIE                        9.43         8.05      4.91      3.62     5.79   4.31
DualE                      9.52         8.13      4.92      3.65     2.80   3.36
CompGCN                    6.76         4.19      4.79      3.55     2.27   0
NodePiece                  4.35         1.48      4.03      2.56     2.47   2.3

